t, y
20.1406, 0
20.1562, 0
20.1719, 0
20.1875, 0
20.2031, 0
20.2188, 0
20.2344, 0
20.25, 0
20.2656, 0
20.2812, 0
20.2969, 0
20.3125, 0
20.3281, 0
20.3438, 0
20.3594, 0
20.375, 0
20.3906, 0
20.4062, 0
20.4219, 0
20.4375, 0
20.4531, 0
20.4688, 0
20.4844, 0
20.5, 0
20.5156, 0
20.5312, 0
20.5469, 0
20.5625, 0
20.5781, 0
20.5938, 0
20.6094, 0
20.625, 0
20.6406, 0
20.6562, 0
20.6719, 0
20.6875, 0
20.7031, 0
20.7188, 0
20.7344, 0
20.75, 0
20.7656, 0
20.7812, 0
20.7969, 0
20.8125, 0
20.8281, 0
20.8438, 0
20.8594, 0
20.875, 0
20.8906, 0
20.9062, 0
20.9219, 0
20.9375, 0
20.9531, 0
20.9688, 0
20.9844, 0
21, 0
21.0156, 0
21.0312, 0
21.0469, 0
